Date,Equity
1959-07-15,93881.85
1959-07-16,93599.71
1959-07-17,93260.13
1959-07-20,92826.25
1959-07-21,93612.68
1959-07-22,93923.23
1959-07-23,94016.77
1959-07-24,93983.34
1959-07-27,94558.18
1959-07-28,95027.12
1959-07-29,95490.33
1959-07-30,95302.98
1959-07-31,95308.34
1959-08-03,95621.22
1959-08-04,95459.03
1959-08-05,94970.98
1959-08-06,94875.38
1959-08-07,94293.36
1959-08-10,92361.91
1959-08-11,93576.8
1959-08-12,93347.77
1959-08-13,93182.71
1959-08-14,93400.47
1959-08-17,93211.63
1959-08-18,92369.52
1959-08-19,91838.09
1959-08-20,93225.49
1959-08-21,93122.17
1959-08-24,92793.08
1959-08-25,92966.49
1959-08-26,93088.78
1959-08-27,93877.06
1959-08-28,93902.32
1959-08-31,93893.08
1959-09-01,92776.29
1959-09-02,92851.31
1959-09-03,91873.38
1959-09-04,92307.57
1959-09-08,91101.38
1959-09-09,90524.42
1959-09-10,119294.17
1959-09-11,120171.03
1959-09-14,119299.2
1959-09-15,118655.43
1959-09-16,118728.61
1959-09-17,118084.26
1959-09-18,117628.26
1959-09-21,115766.18
1959-09-22,115482.46
1959-09-23,116908.69
1959-09-24,118944.32
1959-09-25,118839.68
1959-09-28,119705.28
1959-09-29,120449.98
1959-09-30,119180.15
1959-10-01,119297.67
1959-10-02,119836.87
1959-10-05,119702.5
1959-10-06,119527.46
1959-10-07,119194.47
1959-10-08,118924.32
1959-10-09,119318.25
1959-10-12,119982.8
1959-10-13,119649.51
1959-10-14,118711.8
1959-10-15,119041.6
1959-10-16,119986.46
1959-10-19,119320.12
1959-10-20,118592.88
1959-10-21,118363.35
1959-10-22,117226.28
1959-10-23,118390.89
1959-10-26,119182.76
1959-10-27,120186.33
1959-10-28,120260.9
1959-10-29,120156.3
1959-10-30,120379.69
1959-11-02,120148.43
1959-11-04,119829.02
1959-11-05,119953.14
1959-11-06,120537.89
1959-11-09,120327.69
1959-11-10,120285.07
1959-11-11,120305.53
1959-11-12,119636.96
1959-11-13,118968.07
1959-11-16,117653.31
1959-11-17,117983.19
1959-11-18,119259.31
1959-11-19,119153.73
1959-11-20,119215.53
1959-11-23,119445.61
1959-11-24,120010.38
1959-11-25,120198.62
1959-11-27,120742.49
1959-11-30,121955.85
1959-12-01,122834.49
1959-12-02,122625.29
1959-12-03,122897.25
1959-12-04,123148.28
1959-12-07,123378.4
1959-12-08,124173.36
1959-12-09,123399.32
1959-12-10,123503.92
1959-12-11,123211.04
1959-12-14,123545.75
1959-12-15,123252.87
1959-12-16,123399.31
1959-12-17,123169.19
1959-12-18,123754.95
1959-12-21,123901.39
1959-12-22,123754.95
1959-12-23,123378.39
1959-12-24,123462.07
1959-12-28,123420.23
1959-12-29,124089.67
1959-12-30,125072.91
1959-12-31,125323.95
1960-01-04,125365.79
1960-01-05,126369.95
1960-01-06,125826.03
1960-01-07,124905.55
1960-01-08,124508.07
1960-01-11,122980.91
1960-01-11,119202.26
1960-01-12,118482.19
1960-01-13,117821.49
1960-01-14,118435.13
1960-01-15,118393.36
1960-01-18,117400.82
1960-01-19,116191.3
1960-01-20,115799.4
1960-01-21,116074.68
1960-01-22,116405.42
1960-01-25,115273.3
1960-01-26,115413.75
1960-01-27,115079.46
1960-01-28,113931.64
1960-01-29,112981.15
1960-02-01,113685.33
1960-02-02,152993.66
1960-02-03,151675.72
1960-02-04,151525.51
1960-02-05,150751.95
1960-02-08,149050.52
1960-02-09,150465.06
1960-02-10,149551.85
1960-02-11,148753.85
1960-02-12,149497.31
1960-02-15,148742.21
1960-02-16,147614.82
1960-02-17,148416.75
1960-02-18,150590.76
1960-02-19,151764.49
1960-02-23,150991.67
1960-02-24,150492.05
1960-02-25,150929.88
1960-02-26,151451.26
1960-02-29,151319.97
1960-03-01,151031.5
1960-03-02,149975.86
1960-03-03,199821.94
1960-03-04,199057.79
1960-03-07,197082.17
1960-03-08,195091.74
1960-03-09,197178.07
1960-03-10,196418.26
1960-03-11,197901.77
1960-03-14,198189.02
1960-03-15,199709.53
1960-03-16,200782.62
1960-03-17,200490.59
1960-03-18,200669.54
1960-03-21,200881.73
1960-03-22,201667.33
1960-03-23,203305.85
1960-03-24,204176.27
1960-03-25,204165.47
1960-03-28,203720.71
1960-03-29,203426.81
1960-03-30,202977.79
1960-03-31,201810.99
1960-04-01,202139.29
1960-04-04,202538.47
1960-04-05,201915.7
1960-04-06,206074.66
1960-04-07,206109.29
1960-04-08,205634.56
1960-04-11,204832.39
1960-04-12,205304.94
1960-04-13,205303.74
1960-04-14,205777.03
1960-04-18,206358.27
1960-04-19,204681.87
1960-04-20,202168.83
1960-04-21,202715.16
1960-04-22,202095.64
1960-04-25,200056.67
1960-04-26,200712.37
1960-04-27,200712.17
1960-04-28,198964.58
1960-04-29,198268.51
1960-05-02,197393.92
1960-05-03,199944.74
1960-05-04,200708.96
1960-05-05,200052.46
1960-05-06,199651.5
1960-05-09,199833.39
1960-05-10,198448.68
1960-05-11,198995.07
1960-05-12,200015.5
1960-05-13,201655.74
1960-05-16,201473.44
1960-05-17,202238.85
1960-05-18,202165.91
1960-05-19,203040.58
1960-05-20,203222.79
1960-05-23,203332.12
1960-05-24,203113.42
1960-05-25,203004.06
1960-05-26,203149.85
1960-05-27,203259.18
1960-05-31,203587.2
1960-06-01,203805.9
1960-06-02,204680.68
1960-06-03,205045.13
1960-06-06,207450.83
1960-06-07,209419.13
1960-06-08,211095.83
1960-06-09,211496.78
1960-06-10,211387.43
1960-06-13,211460.33
1960-06-14,211168.73
1960-06-15,209929.43
1960-06-16,209674.28
1960-06-17,209455.58
1960-06-20,208434.98
1960-06-21,208252.73
1960-06-22,208872.38
1960-06-23,210002.33
1960-06-24,210330.38
1960-06-27,209054.63
1960-06-28,207633.08
1960-06-29,207633.08
1960-06-30,207560.18
1960-07-01,208070.48
1960-07-05,207924.68
1960-07-06,207633.08
1960-07-07,208726.58
1960-07-08,209236.88
1960-07-11,207377.93
1960-07-11,201000.49
1960-07-12,198955.82
1960-07-13,198459.07
1960-07-14,198497.74
1960-07-15,198247.86
1960-07-18,197101.23
1960-07-19,197088.57
1960-07-20,196782.32
1960-07-21,260559.3
1960-07-22,258823.83
1960-07-25,256462.68
1960-07-26,258049.22
1960-07-27,256603.93
1960-07-28,258526.55
1960-07-29,370494.07
1960-08-01,370616.41
1960-08-02,367336.83
1960-08-03,365181.83
1960-08-04,366289.51
1960-08-05,369969.44
1960-08-08,370497.44
1960-08-09,372631.59
1960-08-10,374163.24
1960-08-11,375555.04
1960-08-12,378090.49
1960-08-15,377754.08
1960-08-16,378481.82
1960-08-17,379279.5
1960-08-18,379077.57
1960-08-19,380406.09
1960-08-22,381603.96
1960-08-23,385338.51
1960-08-24,387468.2
1960-08-25,385603.71
1960-08-26,384338.61
1960-08-29,383271.42
1960-08-30,379290.36
1960-08-31,380087.12
1960-09-01,380947.79
1960-09-02,380348.22
1960-09-06,376951.08
1960-09-07,372305.23
1960-09-08,371970.07
1960-09-09,374434.23
1960-09-12,371851.18
1960-09-13,372570.55
1960-09-14,369994.58
1960-09-15,368540.54
1960-09-16,367784.94
1960-09-19,359943.12
1960-09-20,360788.14
1960-09-21,364472.01
1960-09-22,363074.97
1960-09-23,360112.64
1960-09-26,354558.12
1960-09-27,353771.16
1960-09-28,350820.81
1960-09-29,351679.39
1960-09-30,357854.58
1960-10-03,356611.67
1960-10-04,354293.21
1960-10-05,356854.56
1960-10-06,358980.44
1960-10-07,360976.01
1960-10-10,361593.74
1960-10-11,362116.48
1960-10-12,361643.87
1960-10-13,364421.44
1960-10-14,366331.85
1960-10-17,364789.76
1960-10-18,362955.48
1960-10-19,362210.66
1960-10-20,359643.17
1960-10-21,358717.14
1960-10-24,352503.06
1960-10-25,451090.71
1960-10-26,458447.87
1960-10-27,463372.64
1960-10-28,461568.35
1960-10-31,461387.56
1960-11-01,466120.14
1960-11-02,468504.74
1960-11-03,470311.64
1960-11-04,474357.3
1960-11-07,476155.81
1960-11-09,478221.35
1960-11-10,487557.62
1960-11-11,482748.47
1960-11-14,480336.61
1960-11-15,482168.53
1960-11-16,481219.62
1960-11-17,479919.45
1960-11-18,482246.88
1960-11-21,483189.2
1960-11-22,481366.01
1960-11-23,482055.77
1960-11-25,484901.75
1960-11-28,484037.99
1960-11-29,482307.13
1960-11-30,479803.3
1960-12-01,477730.37
1960-12-02,478506.77
1960-12-05,477815.34
1960-12-06,479196.64
1960-12-07,483946.84
1960-12-08,485069.43
1960-12-09,489387.67
1960-12-12,491114.4
1960-12-13,491373.35
1960-12-14,491027.75
1960-12-15,489645.79
1960-12-16,494136.87
1960-12-19,493531.97
1960-12-20,493186.43
1960-12-21,497158.77
1960-12-22,495776.81
1960-12-23,496208.62
1960-12-27,496899.57
1960-12-28,499145.19
1960-12-29,501477.18
1960-12-30,501995.4
1961-01-03,497331.42
1961-01-04,504154.65
1961-01-05,505968.42
1961-01-06,504500.13
1961-01-09,508041.3
1961-01-10,509423.22
1961-01-11,510891.51
1961-01-12,512446.17
1961-01-13,514864.53
1961-01-16,514691.79
1961-01-17,515210.01
1961-01-18,515555.49
1961-01-19,516332.82
1961-01-20,517973.85
1961-01-23,520824.06
1961-01-24,522205.98
1961-01-25,522896.94
1961-01-26,523674.27
1961-01-27,529029.21
1961-01-30,535334.22
1961-01-31,533693.19
1961-02-01,534729.63
1961-02-02,538184.43
1961-02-03,537493.47
1961-02-06,533520.45
1961-02-07,532570.38
1961-02-08,537407.1
1961-02-09,535766.07
1961-02-10,531274.83
1961-02-10,514977.18
1961-02-13,512026.8
1961-02-14,514203.6
1961-02-15,518458.5
1961-02-16,521620.35
1961-02-17,519947.45
1961-02-20,521758.84
1961-02-21,522088.11
1961-02-23,524003.83
1961-02-24,526088.89
1961-02-27,529932.86
1961-02-28,531101.38
1961-03-01,530998.64
1961-03-02,534509.57
1961-03-03,535347.04
1961-03-06,536183.95
1961-03-07,531329.23
1961-03-08,531078.09
1961-03-09,531580.3
1961-03-10,531412.71
1961-03-13,532919.16
1961-03-14,530575.65
1961-03-15,532166.52
1961-03-16,537529.07
1961-03-17,535771.9
1961-03-20,542980.06
1961-03-21,541975.18
1961-03-22,541640.25
1961-03-23,540218.31
1961-03-24,539298.22
1961-03-27,538704.62
1961-03-28,538950.41
1961-03-29,543557.97
1961-03-30,544646.73
1961-04-03,549170.06
1961-04-04,549672.51
1961-04-05,547996.41
1961-04-06,549252.91
1961-04-07,552184.82
1961-04-10,556960.18
1961-04-11,557714.02
1961-04-12,555116.83
1961-04-13,554697.93
1961-04-14,555619.48
1961-04-17,574993.13
1961-04-18,858534.0
1961-04-19,853521.98
1961-04-20,853647.28
1961-04-21,852998.33
1961-04-24,835600.73
1961-04-25,847198.45
1961-04-26,850399.95
1961-04-27,849237.14
1961-04-28,847292.21
1961-05-01,845477.65
1961-05-02,851526.66
1961-05-03,858443.24
1961-05-04,861783.71
1961-05-05,862807.14
1961-05-08,861375.42
1961-05-09,862140.93
1961-05-10,861353.86
1961-05-11,861091.17
1961-05-12,862474.65
1961-05-15,866711.61
1961-05-16,869892.01
1961-05-17,873889.49
1961-05-18,868733.59
1961-05-19,872342.69
1961-05-22,866921.59
1961-05-23,864726.29
1961-05-24,859316.91
1961-05-25,856078.18
1961-05-26,861498.75
1961-05-31,863141.53
1961-06-01,863137.25
1961-06-02,865324.6
1961-06-05,869838.09
1961-06-06,867380.05
1961-06-07,851323.05
1961-06-08,864661.05
1961-06-09,864521.24
1961-06-12,857954.14
1961-06-13,853449.48
1961-06-14,855496.44
1961-06-15,851662.25
1961-06-16,845053.51
1961-06-19,837280.23
