Date,Equity1,num_options,num_stocks,options_value_calc,options_value_reported,price_stocks,stocks_value
1959-07-15,93911.76,42292.0,1574.0,117.1,0.001411584002033242,59.59,93794.66
1959-07-16,93633.31,42292.0,1574.0,121.97,0.001526723135515308,59.41,93511.34
1959-07-17,93303.69,42292.0,1574.0,138.63,0.0019206278332532245,59.19,93165.06
1959-07-20,92884.66,42292.0,1574.0,160.32,0.0024335487789292898,58.91,92724.34
1959-07-21,93664.78,42292.0,1574.0,153.44,0.0022709167344108355,59.41,93511.34
1959-07-22,93970.5,42292.0,1574.0,144.36,0.0020562607133084443,59.61,93826.14
1959-07-23,94064.6,42292.0,1574.0,144.02,0.0020481739123745513,59.67,93920.58
1959-07-24,94030.57,42292.0,1574.0,141.47,0.001987903569029642,59.65,93889.1
1959-07-27,94596.55,42292.0,1574.0,125.07,0.0015999709430361136,60.02,94471.48
1959-07-28,95060.06,42292.0,1574.0,116.38,0.0013944805373119346,60.32,94943.68
1959-07-29,95512.08,42292.0,1574.0,96.2,0.0009173781720580448,60.62,95415.88
1959-07-30,95327.87,42292.0,1574.0,100.87,0.0010279053366635052,60.5,95227.0
1959-07-31,95320.5,42292.0,1574.0,77.76,0.00048148269574941824,60.51,95242.74
1959-08-03,95631.09,42292.0,1574.0,73.55,0.00038194730697111226,60.71,95557.54
1959-08-04,95461.52,42292.0,1574.0,61.38,9.416463775065338e-05,60.61,95400.14
1959-08-05,94973.59,42292.0,1574.0,61.39,9.428550742107949e-05,60.3,94912.2
1959-08-06,94875.82,42292.0,1574.0,58.06,1.5616110160433056e-05,60.24,94817.76
1959-08-07,94294.64,42292.0,1574.0,59.26,4.408396244308171e-05,59.87,94235.38
1959-08-10,92450.64,42292.0,1574.0,182.76,0.0029641209399576818,58.62,92267.88
1959-08-11,93656.69,42292.0,1574.0,176.83,0.0028239323821491608,59.39,93479.86
1959-08-12,93417.51,42292.0,1574.0,158.01,0.002378866607804675,59.25,93259.5
1959-08-13,93240.77,42292.0,1574.0,138.67,0.0019215747107799025,59.15,93102.1
1959-08-14,93452.58,42292.0,1574.0,130.12,0.0017194883411779521,59.29,93322.46
1959-08-17,93268.28,42292.0,1574.0,134.7,0.001827757631329044,59.17,93133.58
1959-08-18,92486.0,42292.0,1574.0,218.12,0.003800145002759159,58.62,92267.88
1959-08-19,92005.91,42292.0,1574.0,288.93,0.005474473264941632,58.27,91716.98
1959-08-20,93391.93,42292.0,1574.0,305.57,0.005867935531753632,59.14,93086.36
1959-08-21,93278.09,42292.0,1574.0,286.17,0.005409244986040063,59.08,92991.92
1959-08-24,92966.31,42292.0,1574.0,304.93,0.005852804875859957,58.87,92661.38
1959-08-25,93113.09,42292.0,1574.0,262.83,0.004857455098228741,58.99,92850.26
1959-08-26,93229.93,42292.0,1574.0,253.75,0.004642735187173397,59.07,92976.18
1959-08-27,93980.56,42292.0,1574.0,201.64,0.003410628751942993,59.58,93778.92
1959-08-28,93994.61,42292.0,1574.0,184.21,0.002998344110521231,59.6,93810.4
1959-08-31,93968.99,42292.0,1574.0,158.59,0.0023927149483644605,59.6,93810.4
1959-09-01,92939.29,42292.0,1574.0,277.91,0.005213950842693299,58.87,92661.38
1959-09-02,93007.37,42292.0,1574.0,267.29,0.004962774923462948,58.92,92740.08
1959-09-03,92175.43,42292.0,1574.0,474.19,0.009855159837669214,58.26,91701.24
1959-09-04,92587.19,42292.0,1574.0,445.23,0.009170357499431292,58.54,92141.96
